"","customer.number","customer.package","lifetime.value","pref.payment.type","last.order.time","last.order.value","place.of.residence","terminate"
"129",10128,"student",68651.54,"bank account",93,366.15,"GER",FALSE
"130",10129,"standard",62849.12,"credit card",112,23.65,"NEL",FALSE
"131",10130,"standard",54563.92,"credit card",92,196.3,"GER",TRUE
"132",10131,"prime",69450.17,"credit card",9,409.28,"GBR",FALSE
"133",10132,"student",66283.98,"PayPal",12,557.42,"POL",TRUE
"134",10133,"prime",72869.8,"bank account",12,103.07,"GBR",FALSE
"135",10134,"standard",79796.5,"PayPal",9,160.24,"AUT",FALSE
"136",10135,"prime",69091.82,"credit card",18,399.33,"NEL",FALSE
"137",10136,"student",70644.19,"PayPal",48,357.8,"LUX",TRUE
"138",10137,"prime",55916.73,"credit card",0,198.99,"GER",FALSE
"139",10138,"standard",59187.93,"credit card",28,119.34,"POL",FALSE
"140",10139,"standard",72459.07,"PayPal",12,91.13,"GBR",TRUE
"141",10140,"standard",64232.83,"credit card",58,118.83,"AUT",FALSE
"142",10141,"standard",69819.85,"credit card",12,173.35,"GBR",FALSE
"143",10142,"standard",67746.82,"bank account",21,214.02,"AUT",FALSE
"144",10143,"prime",61866.47,"credit card",41,370.21,"LUX",TRUE
"145",10144,"prime",66943.63,"credit card",12,332.08,"GBR",FALSE
"146",10145,"prime",73179.85,"PayPal",97,246.18,"GBR",FALSE
"147",10146,"prime",68774.03,"PayPal",11,191.45,"LUX",TRUE
"148",10147,"prime",69285.65,"credit card",84,312.81,"POL",FALSE
"149",10148,"standard",86217.07,"PayPal",11,50.51,"NEL",FALSE
"150",10149,"standard",76823.26,"credit card",18,246.75,"POL",FALSE
"151",10150,"standard",68637.04,"PayPal",65,176.98,"POL",FALSE
"152",10151,"standard",75290.51,"credit card",2,142.2,"GBR",FALSE
"153",10152,"standard",57665.58,"PayPal",77,284.22,"BEL",FALSE
"154",10153,"standard",76588.78,"PayPal",89,38.03,"POL",FALSE
"155",10154,"prime",67514.21,"PayPal",60,11.37,"LUX",TRUE
"156",10155,"prime",63989.48,"credit card",83,182.85,"POL",FALSE
"157",10156,"standard",73335.88,"PayPal",12,165.2,"NEL",FALSE
"158",10157,"standard",69640.27,"PayPal",64,335.63,"BEL",FALSE
"159",10158,"standard",43613.16,"credit card",12,480.19,"NEL",FALSE
"160",10159,"standard",74540.96,"credit card",12,193,"BEL",FALSE
"161",10160,"prime",64425.6,"credit card",72,93.51,"NEL",FALSE
"162",10161,"student",71201.88,"credit card",52,407.55,"NEL",FALSE
"163",10162,"student",79945.9,"credit card",28,64.5,"GER",TRUE
"164",10163,"standard",71100.9,"bank account",15,294.22,"GBR",FALSE
"165",10164,"standard",71306.29,"credit card",114,189.34,"GBR",FALSE
"166",10165,"standard",73180.93,"bank account",28,176.5,"GBR",FALSE
"167",10166,"standard",77591.03,"PayPal",69,135.85,"AUT",FALSE
"168",10167,"standard",75190.77,"credit card",2,270.08,"LUX",FALSE
"169",10168,"standard",55469.32,"credit card",130,250.96,"GBR",FALSE
"170",10169,"student",62021.67,"bank account",119,306.11,"BEL",FALSE
"171",10170,"prime",82802.28,"bank account",62,376.7,"NEL",TRUE
"172",10171,"standard",67236.93,"credit card",6,106.15,"AUT",FALSE
"173",10172,"standard",73367.35,"PayPal",64,308.09,"GER",FALSE
"174",10173,"standard",83310.3,"credit card",45,442.26,"NEL",FALSE
"175",10174,"prime",77555.34,"credit card",72,126,"NEL",FALSE
"176",10175,"standard",49377.76,"bank account",20,246.09,"POL",FALSE
"177",10176,"standard",69852.77,"credit card",50,302.29,"POL",FALSE
"178",10177,"standard",68145.52,"PayPal",39,288.17,"NEL",FALSE
"179",10178,"prime",72158.43,"bank account",2,520.91,"NEL",FALSE
"180",10179,"prime",80045.41,"bank account",26,126,"GBR",FALSE
"181",10180,"standard",69480.53,"PayPal",67,422.99,"GER",FALSE
"182",10181,"standard",62019.38,"bank account",69,359.04,"AUT",FALSE
"183",10182,"standard",63623.55,"bank account",63,246,"GER",FALSE
"184",10183,"prime",76607.02,"credit card",81,46.48,"AUT",TRUE
"185",10184,"standard",87626.34,"bank account",34,282.99,"NEL",FALSE
"186",10185,"student",68637.37,"bank account",60,104.08,"GBR",FALSE
"187",10186,"standard",77723.82,"credit card",69,388.09,"GER",TRUE
"188",10187,"standard",63536.33,"bank account",12,143.76,"GBR",FALSE
"189",10188,"standard",74553.09,"bank account",12,69.68,"BEL",FALSE
"190",10189,"standard",80013.97,"bank account",41,429.19,"GBR",FALSE
"191",10190,"student",61751.04,"PayPal",65,244.3,"POL",TRUE
"192",10191,"prime",64853.88,"PayPal",85,438.6,"AUT",FALSE
"193",10192,"prime",71975.9,"PayPal",120,380.48,"NEL",FALSE
"194",10193,"prime",80257.53,"PayPal",117,373.89,"AUT",TRUE
"195",10194,"prime",72193.13,"PayPal",31,348.3,"LUX",FALSE
"196",10195,"standard",73014.91,"credit card",93,450.07,"GBR",FALSE
"197",10196,"standard",56172.56,"PayPal",49,488.42,"LUX",FALSE
"198",10197,"standard",74346.32,"bank account",51,172.15,"NEL",FALSE
"199",10198,"standard",57228.4,"bank account",81,239.21,"GER",FALSE
"200",10199,"standard",67647.24,"credit card",12,252.39,"GBR",TRUE
"201",10200,"standard",60590.95,"credit card",12,277.07,"NEL",FALSE
"202",10201,"standard",53644.79,"credit card",88,252.21,"LUX",TRUE
"203",10202,"standard",70984.24,"PayPal",10,317.92,"BEL",FALSE
"204",10203,"standard",67586.04,"credit card",119,222.03,"GBR",FALSE
"205",10204,"standard",68126.35,"credit card",29,537.86,"LUX",TRUE
"206",10205,"student",78302.02,"credit card",72,272.07,"GBR",FALSE
"207",10206,"standard",63209.93,"bank account",48,126,"NEL",FALSE
"208",10207,"prime",76386.22,"PayPal",12,410.74,"BEL",FALSE
"209",10208,"prime",62721.21,"credit card",70,254.95,"GBR",TRUE
"210",10209,"student",79352.51,"credit card",12,147.73,"GER",FALSE
"211",10210,"prime",58159.54,"PayPal",34,198.1,"GER",FALSE
"212",10211,"standard",76054.2,"bank account",80,434.36,"LUX",FALSE
"213",10212,"standard",64064.59,"credit card",12,126,"POL",FALSE
"214",10213,"standard",96685.42,"PayPal",11,187.97,"LUX",FALSE
"215",10214,"standard",77670.74,"credit card",13,280.68,"AUT",FALSE
"216",10215,"standard",80922.44,"PayPal",55,382.53,"AUT",FALSE
"217",10216,"prime",83975.36,"credit card",26,83.47,"NEL",FALSE
"218",10217,"prime",51613.71,"credit card",59,144.58,"BEL",TRUE
"219",10218,"standard",67787.91,"credit card",138,263,"AUT",TRUE
"220",10219,"prime",77385.15,"credit card",89,398.82,"GER",FALSE
"221",10220,"prime",63194.07,"credit card",2,522.05,"LUX",FALSE
"222",10221,"prime",66893.31,"credit card",76,255.05,"GER",FALSE
"223",10222,"standard",81478,"credit card",5,383.61,"AUT",FALSE
"224",10223,"standard",84053.84,"PayPal",46,35.44,"AUT",FALSE
"225",10224,"standard",81402.17,"credit card",40,295.73,"AUT",FALSE
"226",10225,"standard",72928.81,"credit card",12,293.53,"NEL",FALSE
"227",10226,"standard",53027.83,"credit card",12,53.77,"AUT",FALSE
"228",10227,"standard",59851.28,"PayPal",14,140.84,"GBR",FALSE
"229",10228,"standard",66124.22,"credit card",66,156.54,"GER",FALSE
"230",10229,"standard",72744.16,"PayPal",64,188.41,"GBR",FALSE
"231",10230,"standard",80079.41,"credit card",59,239.35,"POL",FALSE
"232",10231,"standard",76864.32,"credit card",46,328.67,"GBR",FALSE
"233",10232,"student",65530.76,"bank account",89,406.7,"NEL",FALSE
"234",10233,"prime",63073.34,"PayPal",68,309.04,"LUX",FALSE
"235",10234,"prime",73554.75,"bank account",68,48.21,"BEL",FALSE
"236",10235,"standard",70282.43,"PayPal",120,209.2,"AUT",TRUE
"237",10236,"standard",75778.7,"credit card",12,275.81,"BEL",TRUE
"238",10237,"standard",58536.71,"bank account",85,65.69,"AUT",TRUE
"239",10238,"standard",67395.17,"credit card",30,309.78,"POL",FALSE
"240",10239,"standard",55820.42,"PayPal",13,107.43,"POL",FALSE
"241",10240,"standard",61363.5,"PayPal",61,430.73,"LUX",FALSE
"242",10241,"student",77703.55,"credit card",26,262.62,"LUX",TRUE
"243",10242,"standard",82994.55,"bank account",68,85.84,"GER",FALSE
"244",10243,"standard",65624.18,"PayPal",84,148.18,"POL",TRUE
"245",10244,"prime",70112.11,"credit card",62,497.95,"GBR",FALSE
"246",10245,"prime",60521.41,"credit card",30,63.83,"GER",FALSE
"247",10246,"prime",71941.94,"bank account",36,187.32,"GBR",FALSE
"248",10247,"standard",72449.53,"bank account",69,480.05,"AUT",TRUE
"249",10248,"standard",58856.49,"credit card",12,363.81,"POL",FALSE
"250",10249,"standard",70627.22,"bank account",57,126.62,"AUT",FALSE
"251",10250,"prime",78658.98,"credit card",63,330.91,"GER",FALSE
"252",10251,"standard",53354.2,"credit card",120,126,"POL",FALSE
"253",10252,"student",70761.06,"bank account",32,408.44,"GER",FALSE
"254",10253,"standard",79552.83,"credit card",83,241.1,"LUX",FALSE
"255",10254,"student",70899.88,"PayPal",58,299.54,"POL",FALSE
"256",10255,"standard",83139.14,"credit card",58,453.87,"BEL",FALSE
"257",10256,"standard",85127.84,"bank account",131,251.78,"BEL",FALSE
"258",10257,"standard",62861.18,"credit card",71,116.24,"GER",TRUE
"259",10258,"standard",73879.83,"credit card",1,156.29,"GBR",FALSE
"260",10259,"prime",68406.25,"PayPal",142,278.37,"NEL",FALSE
"261",10260,"standard",76905.4,"PayPal",12,400.51,"GBR",FALSE
"262",10261,"standard",72944.37,"credit card",12,272.95,"BEL",FALSE
"263",10262,"prime",62325.7,"bank account",114,96.27,"BEL",TRUE
"264",10263,"prime",61676.94,"credit card",49,126,"AUT",FALSE
"265",10264,"prime",73229.67,"bank account",12,207.61,"AUT",TRUE
"266",10265,"standard",90050.37,"PayPal",103,374.5,"POL",FALSE
"267",10266,"prime",61518.14,"bank account",12,177.13,"GER",FALSE
"268",10267,"standard",66366.79,"credit card",98,180.19,"AUT",FALSE
"269",10268,"standard",60489.08,"PayPal",38,190.61,"LUX",FALSE
"270",10269,"standard",80741.31,"credit card",33,183.9,"NEL",TRUE
"271",10270,"student",84993.56,"bank account",105,137.69,"LUX",FALSE
"272",10271,"standard",74752.64,"PayPal",122,237.8,"GER",FALSE
"273",10272,"standard",63007.38,"credit card",13,113.78,"GBR",FALSE
"274",10273,"standard",62844.14,"credit card",43,271.09,"BEL",TRUE
"275",10274,"standard",73506.3,"credit card",81,126,"POL",FALSE
"276",10275,"student",73227.56,"bank account",80,283.3,"BEL",FALSE
"277",10276,"standard",79583.53,"PayPal",88,322.79,"AUT",FALSE
"278",10277,"standard",78916.2,"credit card",12,270.14,"LUX",FALSE
"279",10278,"standard",59642.85,"PayPal",72,62.11,"AUT",FALSE
"280",10279,"prime",71980.24,"credit card",25,360.93,"NEL",TRUE
"281",10280,"standard",58740.37,"credit card",73,375.54,"BEL",FALSE
"282",10281,"standard",64190.49,"credit card",56,551.78,"GER",FALSE
"283",10282,"standard",61404.43,"credit card",9,214.62,"GER",FALSE
"284",10283,"prime",64924.48,"credit card",56,363.53,"NEL",FALSE
"285",10284,"prime",64167.24,"PayPal",152,463.73,"AUT",TRUE
"286",10285,"student",76955.55,"PayPal",1,244.89,"BEL",FALSE
"287",10286,"standard",76922.42,"credit card",53,275.09,"NEL",FALSE
"288",10287,"standard",45486.52,"credit card",26,279.44,"POL",TRUE
"289",10288,"standard",57750.47,"bank account",12,149.08,"GBR",FALSE
"290",10289,"prime",90589.67,"credit card",130,196.33,"GER",FALSE
"291",10290,"prime",93590.47,"credit card",7,34.46,"GER",TRUE
"292",10291,"standard",75470.32,"credit card",108,235.14,"LUX",FALSE
"293",10292,"standard",76337.29,"credit card",12,369.66,"POL",FALSE
"294",10293,"standard",74654.39,"bank account",19,286.46,"AUT",FALSE
"295",10294,"prime",66254.91,"credit card",1,44.07,"AUT",FALSE
"296",10295,"standard",69000.08,"credit card",37,566.77,"BEL",FALSE
"297",10296,"standard",68014.83,"PayPal",87,436.23,"NEL",FALSE
"298",10297,"standard",82053.72,"credit card",58,261.63,"GER",FALSE
"299",10298,"standard",87795.26,"credit card",70,370.5,"LUX",FALSE
"300",10299,"standard",72080.56,"credit card",12,78.14,"LUX",TRUE
"301",10300,"standard",59449.51,"PayPal",26,185.86,"NEL",TRUE
"302",10301,"standard",63554.01,"credit card",29,183.58,"BEL",FALSE
"303",10302,"standard",79893.06,"PayPal",116,263.61,"AUT",FALSE
"304",10303,"standard",65930.37,"PayPal",120,428.79,"AUT",FALSE
"305",10304,"standard",62128.95,"credit card",87,250.38,"NEL",FALSE
"306",10305,"prime",57766.73,"bank account",61,485.35,"NEL",FALSE
"307",10306,"prime",64393.8,"bank account",114,180.68,"LUX",FALSE
"308",10307,"prime",77181.87,"PayPal",2,356.92,"BEL",TRUE
"309",10308,"standard",77156.34,"credit card",29,67.49,"BEL",FALSE
"310",10309,"standard",74705.63,"PayPal",102,101.37,"LUX",FALSE
"311",10310,"standard",71253.92,"credit card",17,289.48,"POL",FALSE
"312",10311,"standard",53778.96,"PayPal",14,214.3,"NEL",FALSE
"313",10312,"standard",51196.33,"bank account",113,289,"BEL",FALSE
"314",10313,"standard",74178.25,"PayPal",14,180.31,"BEL",TRUE
"315",10314,"standard",60748.25,"credit card",119,257.52,"GER",FALSE
"316",10315,"standard",51730.49,"bank account",12,13.26,"GBR",FALSE
"317",10316,"standard",74108,"PayPal",0,186.27,"NEL",TRUE
"318",10317,"standard",88282.17,"credit card",84,349.92,"AUT",FALSE
"319",10318,"standard",79212.67,"credit card",67,264.19,"GBR",FALSE
"320",10319,"standard",55459.64,"bank account",55,464.31,"GER",TRUE
"321",10320,"standard",82826.09,"PayPal",3,256.85,"GBR",FALSE
"322",10321,"standard",65339.25,"credit card",4,112.71,"AUT",FALSE
"323",10322,"standard",84757.76,"credit card",40,354.98,"BEL",FALSE
"324",10323,"standard",67797.44,"credit card",12,377.09,"AUT",FALSE
"325",10324,"standard",63052.1,"credit card",43,126,"BEL",FALSE
"326",10325,"standard",68846.65,"credit card",83,104.35,"LUX",FALSE
"327",10326,"prime",82802.84,"PayPal",52,87.33,"GER",FALSE
"328",10327,"standard",72800.18,"credit card",104,83.69,"GER",TRUE
"329",10328,"prime",80069.54,"credit card",15,341.68,"POL",TRUE
"330",10329,"standard",70442.96,"bank account",110,124.61,"POL",FALSE
"331",10330,"standard",73581.68,"credit card",32,237.49,"NEL",FALSE
"332",10331,"prime",70408.62,"credit card",41,489.49,"GER",FALSE
"333",10332,"prime",79005.03,"credit card",81,140.72,"NEL",FALSE
"334",10333,"standard",77928.6,"bank account",100,469.76,"GBR",TRUE
"335",10334,"standard",82437.2,"bank account",62,467.68,"NEL",TRUE
"336",10335,"prime",65110.23,"credit card",12,14.86,"AUT",FALSE
"337",10336,"standard",70925.51,"PayPal",59,187.31,"GER",FALSE
"338",10337,"standard",72374.09,"PayPal",60,182.16,"LUX",TRUE
"339",10338,"prime",75973.54,"credit card",62,274.16,"BEL",FALSE
"340",10339,"prime",57951.02,"bank account",34,192.22,"LUX",FALSE
"341",10340,"prime",58555.46,"credit card",12,371.91,"LUX",TRUE
"342",10341,"prime",67912.17,"credit card",108,201.14,"LUX",FALSE
"343",10342,"standard",73221.71,"credit card",69,161.1,"GER",FALSE
"344",10343,"prime",62859.63,"PayPal",62,88.96,"AUT",FALSE
"345",10344,"prime",89356.15,"PayPal",41,215.62,"POL",FALSE
"346",10345,"standard",82188.2,"credit card",61,238.57,"NEL",FALSE
"347",10346,"standard",72129.19,"credit card",12,154.66,"LUX",FALSE
"348",10347,"prime",61026.15,"bank account",120,415.81,"AUT",FALSE
"349",10348,"standard",80697.32,"bank account",84,443.82,"BEL",TRUE
"350",10349,"standard",73290.81,"credit card",59,210.54,"LUX",FALSE
"351",10350,"prime",61826.75,"credit card",78,315.79,"AUT",TRUE
"352",10351,"prime",69414.67,"PayPal",67,208.45,"LUX",FALSE
"353",10352,"prime",58126.68,"PayPal",44,144.68,"AUT",FALSE
"354",10353,"standard",58454.62,"credit card",106,268.91,"GBR",FALSE
"355",10354,"standard",66519.67,"PayPal",90,204.99,"LUX",TRUE
"356",10355,"standard",83010.86,"bank account",174,391.7,"GER",FALSE
"357",10356,"standard",71975.38,"credit card",20,608.5,"LUX",FALSE
"358",10357,"prime",73265.19,"PayPal",41,417.58,"LUX",FALSE
"359",10358,"standard",75357.36,"bank account",57,393,"LUX",FALSE
"360",10359,"standard",88874.72,"PayPal",4,358.86,"GER",FALSE
"361",10360,"standard",68314.04,"credit card",30,119.34,"POL",FALSE
"362",10361,"student",76095.63,"PayPal",93,172.71,"GER",FALSE
"363",10362,"standard",88656.36,"bank account",89,193.74,"AUT",FALSE
"364",10363,"prime",64641.49,"PayPal",43,275.74,"LUX",FALSE
"365",10364,"prime",67779.91,"PayPal",12,85.06,"POL",FALSE
"366",10365,"standard",55790.32,"credit card",88,453.48,"GER",FALSE
"367",10366,"standard",78532.23,"credit card",76,243.57,"GER",TRUE
"368",10367,"standard",78332.59,"credit card",12,252.21,"NEL",FALSE
"369",10368,"prime",75684.96,"PayPal",81,115.24,"NEL",FALSE
"370",10369,"standard",69793.7,"PayPal",42,291.73,"AUT",FALSE
"371",10370,"prime",77999.4,"PayPal",23,446.43,"GER",TRUE
"372",10371,"standard",61536.86,"PayPal",82,305.69,"GBR",FALSE
"373",10372,"standard",77079.45,"credit card",87,316.61,"NEL",FALSE
"374",10373,"standard",79085.95,"credit card",12,537.59,"GBR",FALSE
"375",10374,"student",74412.48,"bank account",52,298.55,"NEL",FALSE
"376",10375,"standard",77800.62,"credit card",29,249.02,"POL",FALSE
"377",10376,"standard",83153.33,"bank account",76,21.83,"AUT",TRUE
"378",10377,"standard",69530.9,"PayPal",18,524.23,"AUT",FALSE
"379",10378,"standard",62811.74,"credit card",48,272.1,"LUX",FALSE
"380",10379,"standard",65817.94,"bank account",75,401.91,"NEL",TRUE
"381",10380,"student",84241.73,"credit card",27,246.54,"GER",FALSE
"382",10381,"prime",74260.28,"credit card",157,407.03,"NEL",FALSE
"383",10382,"standard",64416.64,"bank account",104,86.51,"GER",FALSE
"384",10383,"standard",68454.18,"PayPal",39,250.87,"GER",FALSE
"385",10384,"prime",75641.07,"PayPal",23,326.26,"GBR",FALSE
"386",10385,"standard",72917.96,"PayPal",17,148.26,"GBR",FALSE
"387",10386,"prime",91352.77,"credit card",10,260.97,"LUX",FALSE
"388",10387,"prime",70538.46,"credit card",85,259.29,"GER",FALSE
